Isolate name,Standardized name,Isolation,Ecological origins,Geographical origins,HO deletion,Plasmid class,Plasmid CN,Ploidy,Aneuploidies,Zygosity,Total number of SNPs,Proportion of clean heterozygous SNPs (whole dataset),Number of singletons,Mean coverage,Clades
21-4-125,AMA,"Fruit of plum tree (Prunus domestica L., 'Stanley')",Fruit,"Male Zaluzie, Slovakia",no,A,43,3,euploid,heterozygous,"47,184",18.5,320,232,Wine/European 
21-4-111,ALQ,"Leaves of Prunus domestica L., 'Stanley'",Tree,"Male Zaluzie, Slovakia",no,A,56,2,euploid,homozygous,"42,959",0,138,251,Wine/European 
CCY_21-4-120,BBI,"Blossoms of plum tree (Prunus domestica L., 'Stanley')",Flower,"Male Levare, Slovakia",no,A,20,2,euploid,homozygous,"43,097",0,197,279,Wine/European 
21-4-122,ALT,Blossoms of apricot tree (Prunus armeniaca),Flower,"Male Zaluzie, Slovakia",no,A,28,2,euploid,homozygous,"43,053",0,1,222,Wine/European 
CCY_21-4-121,BBK,"Blossoms of apricot tree (Prunus armeniaca L., Madraska)",Flower,"Male Zaluzie, Slovakia",no,A,42,2,euploid,homozygous,"43,352",0,1,268,Wine/European 
EXF-5287,BFB,Plum,Nature,Slovenia,no,A,94,2,euploid,heterozygous,"46,371",16.7,239,213,Wine/European 
EXF-5297,BFD,Mashed pears,Fruit,Slovenia,no,A,63,2,euploid,homozygous,"43,547",0,219,270,Wine/European 
21-4-116,ALS,Blossom of apple tree (Malus domestica),Flower,"Male levare, Slovakia",no,A,35,2,euploid,homozygous,"43,126",0,5,228,Wine/European 
CCY_21-4-119,BBH,Blossoms of pear tree (Pyrus communis),Flower,"Male Levare, Slovakia",no,A,51,2,euploid,homozygous,"43,197",0,10,250,Wine/European 
DBVPG1918,BPQ,Grape must,Wine,Malta,no,A,36,2,euploid,homozygous,"42,978",0,121,180,Wine/European 
DBVPG4186,BQN,Wine,Wine,Slovenia,no,A,31,2,euploid,homozygous,"43,170",0,6,196,Wine/European 
DBVPG4036,CBI,Grape must,Wine,ex Yugoslavia,no,A,43,2,euploid,homozygous,"43,172",0,7,194,Wine/European 
N493-2C,CCM,Fir tree needles,Tree,"Kiev district, Ukraine",no,A,101,2,euploid,homozygous,"43,172",0,167,262,Wine/European 
EXF-3387,BEP,Homemade apple vingar,Unknown,"Ljubljana, Slovenia",no,A,80,2,euploid,heterozygous,"44,797",9.4,217,236,Wine/European 
DBVPG4695,BRC,"Winery surface at the beginning of Vino Santo production, Lungarotti winery",Wine,"Torgiano, Perugia, Italy",no,A,9,2,euploid,homozygous,"42,776",0,156,261,Wine/European 
Lib39,CGT,Fermenting grape must (white wine),Wine,Lebanon,no,A,6,2,euploid,homozygous,"43,263",0,156,264,Wine/European 
21-04-1999,ALL,River water (Danube),Water,"Bratislava, Slovakia",no,A,29,2,euploid,heterozygous,"46,123",13.9,60,263,Wine/European 
21-4-101,ALM,River water (Danube),Water,"Bratislava, Slovakia",no,A,32,2,aneu;+1*9;,heterozygous,"45,766",13.4,44,203,Wine/European 
CECT1478,AVH,Wine,Wine,Hungary,no,none,0,2,aneu;+1*2;+1*6;+1*7;+1*10;+1*13;+1*15;+1*16;,homozygous,"42,765",0,309,266,Wine/European 
CBS1227,AHR,Abscess on epididymis,"Human, clinical",Romania,yes,A,1,1,euploid,homozygous,"42,774",0,7,268,Wine/European 
YJM244,SACE_YAD,Human,"Human, clinical",Romania,no,A,61,2,euploid,homozygous,"42,587",0,1,91,Wine/European 
CBS1582,AGH,Wine,Wine,Portugal,yes,A,30,1,euploid,homozygous,"42,592",0,318,225,Wine/European 
ZP_577,BTH,Quercus faginea,Tree,"Portugal, Aldeia das Dez, S. Estrela,",no,A,7,2,euploid,homozygous,"42,813",0,337,324,Wine/European 
UC4,ATH,Vineyard,Wine,Germany,no,A,125,2,euploid,heterozygous,"44,025",6,418,214,Wine/European 
CLIB484,BFQ,"Cider brewery, industrial raw juice",Cider,"Brittany, France",no,A,20,2,euploid,homozygous,"42,381",0,5,263,Wine/European 
SRC 147,CIA,Bioindustrial strains,Industrial,"Bretagne, France",no,A,42,2,euploid,homozygous,"42,511",0,6,263,Wine/European 
CLIB485,BFR,"Cider brewery, industrial raw juice",Cider,"Brittany, France",no,A,35,2,euploid,homozygous,"42,270",0,3,236,Wine/European 
SRC 213,CIB,Bioindustrial strains,Industrial,"Bretagne, France",no,A,72,2,euploid,homozygous,"42,207",0,5,220,Wine/European 
DBVPG1978,CBG,Grape must,Wine,Slovakia,no,A,21,2,euploid,heterozygous,"45,588",13.9,498,167,Wine/European 
CLIB294_1b,ACF,Distillery,Distillery,France,yes,A,28,1,euploid,homozygous,"42,639",0,252,202,Wine/European 
YJM1356,SACE_YCD,Cider,Cider,NA,no,A,99,2,aneu;+1*1;,homozygous,"43,202",0,188,321,Wine/European 
CBS423,APS,Wine,Wine,Switzerland,no,A,131,2,aneu;+1*1;+1*8;+1*14;,heterozygous,"44,618",8.4,548,219,Wine/European 
CBS1257,ARC,Wine,Wine,Germany,no,A,149,2,aneu;+1*14;,heterozygous,"44,120",6.3,640,220,Wine/European 
EXF-5042,BER,Straw broom sink cleaning after grape pressing,Wine,Slovenia,no,A,85,2,euploid,heterozygous,"44,073",5.4,548,251,Wine/European 
EXF-5046,BES,Grapes,Wine,Slovenia,no,A,210,2,euploid,heterozygous,"43,843",5.5,578,238,Wine/European 
CBS1602,ARK,Must of Blanchard pears,Fruit,NA,no,A,28,2,aneu;+1*8;+1*13;,heterozygous,"43,956",4.7,392,270,Wine/European 
PR,ATA,Vineyard,Wine,France,no,none,0,2,euploid,homozygous,"42,868",0,304,276,Wine/European 
CBS2271,ARQ,Wine,Wine,Belgium,no,none,0,2,euploid,homozygous,"42,347",0,475,196,Wine/European 
YJM1242,SACE_YBN,Unknown,Fruit,"Illinois, USA",no,A,72,2,euploid,homozygous,"42,791",0,9,217,Wine/European 
CBS1250,APV,Cherry wine,Wine,Spain,no,A,18,2,euploid,homozygous,"42,341",0,17,226,Wine/European 
UCD_40-49,CFV,Citrus fermentation,Fruit,NA,no,A,67,2,aneu;+1*1;+1*4;,homozygous,"42,651",0,25,291,Wine/European 
YJM1477,SACE_YDC,Blatz beer,Beer,Ethiopia,no,A,47,2,euploid,homozygous,"43,345",0,10,295,Wine/European 
L1528,SACE_GAP,Wine,Wine,Chile,no,A,33,2,euploid,homozygous,"40,705",0,347,19,Wine/European 
CBS2966a,AAI,Distillery,Distillery,Denmark,yes,none,0,1,euploid,homozygous,"43,085",0,18,243,Wine/European 
CBS2965,ARV,Distillery,Distillery,Denmark,no,A,87,2,aneu;+1*1;,homozygous,"43,022",0,10,253,Wine/European 
CLIB1040,BHC,"Cider brewery, raw apple juice",Cider,"Brittany, France",no,A,60,2,euploid,heterozygous,"45,562",5.5,283,180,Wine/European 
CLIB1062,BHF,"Cider brewery, half fermenting apple juice",Cider,"Brittany, France",no,A,37,2,euploid,homozygous,"42,980",0,198,283,Wine/European 
DBVPG1601,BLB,Grape must,Wine,"Casa del Rey, La Mancha, Spain",no,A,24,2,euploid,homozygous,"42,545",0,410,239,Wine/European 
DBVPG1898,BPP,Grape must,Wine,"Pantelleria, Italy",no,A,25,2,aneu;+1*1;,homozygous,"42,668",0,404,265,Wine/European 
L-475,BTN,Wine,Wine,Chile,no,A,21,2,euploid,homozygous,"42,470",0,293,193,Wine/European 
L-304,BTL,Wine,Wine,Chile,no,A,5,2,euploid,homozygous,"42,632",0,273,210,Wine/European 
L-319,CRH,Wine,Wine,Chile,no,A,10,2,euploid,heterozygous,"45,482",10,411,228,Wine/European 
YJM189,SACE_YAA,Unknown,Distillery,NA,no,A,45,2,euploid,homozygous,"43,640",0,391,167,Wine/European 
L-1183,BSP,Wine,Wine,Uruguay,no,A,14,2,euploid,homozygous,"41,722",0,306,143,Wine/European 
CBS1460,AHT,Fermenting fruit,Fermentation,Indonesia,yes,A,11,1,euploid,homozygous,"43,122",0,20,244,Wine/European 
Y4,ATN,Fruit,Fruit,Indonesia,no,A,85,2,euploid,homozygous,"43,041",0,1,235,Wine/European 
YJM1244,SACE_YBO,Unknown,Fruit,Indonesia,no,A,64,2,euploid,homozygous,"43,261",0,4,58,Wine/European 
DBVPG1701,BNK,Grape must,Wine,"Cihuri, Rioja, Spain",no,A,20,2,euploid,homozygous,"42,671",0,6,196,Wine/European 
DBVPG1725,BNR,Grape must,Wine,"La Puebla de la Barca, Rioja, Spain",no,A,52,2,euploid,homozygous,"42,630",0,2,199,Wine/European 
DBVPG3100,BQH,Grape must,Wine,"Toscana, Italy",no,A,27,2,euploid,heterozygous,"46,498",13.9,542,216,Wine/European 
EXF-4126,BEQ,Dry wine-berry selection,Wine,"Ljubljana, Slovenia",no,A,67,2,euploid,heterozygous,"50,512",26,405,240,Wine/European 
C15.1,AIK,Palm nuts ,Nature,Cameroon,no,A,23,2,euploid,heterozygous,"43,321",3,138,278,Wine/European 
D-1,CAH,Wine conserved in amphora,Wine,Georgia,no,A,100,2,aneu;+1*4;,heterozygous,"46,741",17,12,210,Wine/European 
A-14,CBA,Wine conserved in amphora,Wine,Georgia,no,A,64,2,euploid,heterozygous,"46,883",17.3,7,229,Wine/European 
D-4,CAI,Wine conserved in amphora,Wine,Georgia,no,A,17,2,euploid,heterozygous,"34,543",25.2,1,54,Wine/European 
A-16,CAK,Wine conserved in amphora,Wine,Georgia,no,A,12,2,euploid,heterozygous,"49,833",24.2,7,337,Wine/European 
A-19,CAL,Wine conserved in amphora,Wine,Georgia,no,A,17,2,euploid,heterozygous,"49,751",25,3,232,Wine/European 
M57,BSL,Wine,Wine,Italy,no,A,8,2,euploid,heterozygous,"48,560",22.4,58,217,Wine/European 
YJM1332,SACE_YBX,Unknown,Wine,Italy,no,A,40,2,euploid,homozygous,"43,609",0,10,298,Wine/European 
DBVPG6880,BSE,Winery,Wine,"Ridge Winery, California, USA",no,A,45,2,euploid,homozygous,"42,960",0,196,254,Wine/European 
RM11-1a,AAA,Zinfandel vineyard,Wine,"California, USA",yes,none,0,1,euploid,homozygous,"42,872",0,254,218,Wine/European 
UCD_40-255,CFS,Red Tokay grapes  (1939),Wine,"Walnut Creek, California",no,A,153,4,aneu;+1*2;-1*6;,homozygous,"43,275",0,110,302,Wine/European 
EXF-5248,BEV,Seawater in harbour,Water,"Koper, Slovenia",no,A,60,2,euploid,homozygous,"42,934",0,1,190,Wine/European 
EXF-5247,BET,Seawater in harbour,Water,"Koper, Slovenia",no,A,66,2,euploid,homozygous,"43,202",0,4,236,Wine/European 
L-962,BST,Wine,Wine,"Mendoza area, Argentina",no,A,8,2,euploid,homozygous,"43,269",0,2,223,Wine/European 
M5,ASS,Vineyard,Wine,Italy,no,A,31,2,euploid,homozygous,"44,701",0,124,204,Wine/European 
DBVPG6879,BSD,Winery,Wine,"Newton Winery, California, USA",no,A,24,2,euploid,homozygous,"44,287",0,167,243,Wine/European 
UC10,ATM,Wine,Wine,"California, USA",no,A,114,2,euploid,homozygous,"43,247",0,150,175,Wine/European 
L-982,CQT,Wine,Wine,Argentina,no,A,24,2,euploid,homozygous,"43,581",0,70,292,Wine/European 
DBVPG6876,BSA,Winery,Wine,"Frog's Leap Winery, California, USA",no,A,33,2,euploid,homozygous,"43,387",0,255,342,Wine/European 
M22_1b,ADR,Vineyard,Wine,Italy,yes,A,25,1,euploid,homozygous,"42,508",0,124,226,Wine/European 
DBVPG6878,BSC,Winery,Wine,"Mondavi Winery, California, USA",no,A,7,2,euploid,homozygous,"42,795",0,155,236,Wine/European 
UCD_40-235,CFQ,Muscate grapes,Wine,"Walnut Creek, California",no,A,63,2,euploid,homozygous,"43,187",0,245,340,Wine/European 
UCD_40-248,CFR,Muscat must to be fortified  (1939),Wine,"Tulare Winery, California",no,none,0,2,euploid,homozygous,"42,776",0,206,219,Wine/European 
DBVPG6877,BSB,Winery,Wine,"Sterling Winery, California, USA",no,none,0,2,euploid,homozygous,"43,010",0,194,250,Wine/European 
UC1_1b,ADC,Wine,Wine,France,yes,A,27,1,euploid,homozygous,"42,594",0,16,259,Wine/European 
YJM1415,SACE_YCP,Wine,Wine,France,no,A,106,2,euploid,homozygous,"43,403",0,8,410,Wine/European 
YJM1417,SACE_YCQ,Cider,Cider,NA,no,A,48,2,euploid,homozygous,"43,132",0,209,472,Wine/European 
DBVPG1106,BII,Grapes,Wine,Australia,no,A,60,2,euploid,homozygous,"43,102",0,207,257,Wine/European 
DBVPG1129,BIS,Grape must,Wine,"Senigallia, Italy",no,A,11,2,euploid,homozygous,"43,106",0,185,227,Wine/European 
DBVPG1080,BIG,Grape must,Wine,"Barletta, Italy",no,A,47,2,aneu;-1*1;,homozygous,"43,119",0,502,277,Wine/European 
MC8,AIR,Cooked wine (vino cotto),Wine,"Ascoli Piceno, Italy",no,A,15,2,euploid,homozygous,"42,709",0,0,244,Wine/European 
MC10,AIT,Winery surface,Wine,"Umbria, Italy",no,A,17,2,euploid,homozygous,"42,683",0,1,237,Wine/European 
DBVPG1078,BNF,Grape must,Wine,"San Ferdinando, Italy",no,none,0,2,euploid,homozygous,"42,937",0,348,199,Wine/European 
PB56,BAR,"Bark from Quercus sp. (Oak 1), next to vineyard",Tree,Montalcino in Italy,no,A,17,2,euploid,homozygous,"42,981",0,4,251,Wine/European 
PB67,BAS,Soil beneath grape vine,Soil,Montalcino in Italy,no,A,13,2,euploid,homozygous,"42,983",0,5,229,Wine/European 
PB94,BAT,"Soil by trunk of Quercus sp. (Oak 1), next to vineyard",Soil,Montalcino in Italy,no,A,21,2,euploid,homozygous,"43,008",0,1,245,Wine/European 
DBVPG4902,BRD,Dried sausages under oil,Unknown,"Perugia, Italy",no,A,7,2,euploid,heterozygous,"47,063",17,569,296,Wine/European 
CBS6223,AGV,Grape juice,Wine,Chile,yes,A,48,1,euploid,homozygous,"42,783",0,426,209,Wine/European 
DBVPG3924,BQI,Grape must,Wine,"Piave, Italy",no,A,7,2,euploid,homozygous,"42,837",0,233,187,Wine/European 
CBS3012,AGA,Wine,Wine,"Cadiz, Spain",no,A,30,2,aneu;+2*1;+2*8;,homozygous,"42,762",0,11,233,Wine/European 
CBS3013,AGS,Wine,Wine,"Cadiz, Spain",yes,A,50,1,euploid,homozygous,"42,714",0,11,220,Wine/European 
DBVPG1798,BPC,Grape must,Wine,"Sicily, Italy",no,A,5,2,euploid,homozygous,"43,469",0,532,249,Wine/European 
DBVPG1380,BKE,Grape must,Wine,"Rufina, Italy",no,A,19,2,euploid,homozygous,"43,206",0,360,204,Wine/European 
DBVPG1626,BLH,Grape must,Wine,"La Mancha, Spain",no,A,31,2,euploid,homozygous,"43,229",0,315,287,Wine/European 
L-846,CRG,Wine,Wine,Chile,no,A,20,2,euploid,heterozygous,"45,841",12.4,399,213,Wine/European 
C10.4,AIL,Clay,Nature,Cameroon,no,A,48,2,euploid,heterozygous,"44,829",10.2,9,212,Wine/European 
SJ5L17,AMS,Probiotic,Probiotic,Austria,no,A,19,2,euploid,heterozygous,"45,035",11.3,38,216,Wine/European 
DBVPG1611,BLE,Grape must,Wine,"Retamosa, La Mancha, Spain",no,A,10,2,euploid,homozygous,"43,192",0,384,330,Wine/European 
Y9J_1b,ADB,Wine,Wine,Japan,yes,A,13,1,aneu;+1*10;,homozygous,"44,873",0,364,259,Wine/European 
DBVPG2049,BQB,Lambrusco grape must,Wine,"Reggio Emilia, Italy",no,A,7,2,euploid,heterozygous,"47,387",17.7,397,178,Wine/European 
SJ5L16,AMR,Soil,Soil,"Jhuosi, Hualein, Taiwan",no,A,15,2,euploid,homozygous,"42,935",0,1,223,Wine/European 
DBVPG4651_1b,ABT,Tuber magnatum,Nature,Italy,yes,A,20,1,euploid,homozygous,"42,986",0,0,209,Wine/European 
DBVPG4651,BRA,Surface of Tuber magnatum,Nature,Italy,no,A,8,2,euploid,homozygous,"43,409",0,2,297,Wine/European 
DBVPG1056,BIC,grape must,Wine,"production zone of Chianti wine, Italy",no,A,19,2,euploid,homozygous,"44,477",0,374,314,Wine/European 
DBVPG1631,BLK,Grape must treated with sulfur dioxide,Wine,"Valdepenas, La Mancha, Spain",no,A,75,2,euploid,homozygous,"43,993",0,339,267,Wine/European 
2282,BBV,"Grapes, Verdosilla variety",Wine,"Tuejar, Spain",no,A,9,2,aneu;+1*3;,heterozygous,"46,043",10.6,26,295,Wine/European 
4LBI-3,BVK,Spontaneous grape fermentation,Wine,"Basilicata, Italy",no,A,29,2,euploid,homozygous,"43,518",0,8,230,Wine/European 
4.9_WLP099,CFE,"Carlsberg Beer, super high gravity",Beer,United Kingdom,no,A,68,2,euploid,heterozygous,"46,661",13.9,72,272,Wine/European 
DBVPG5760,BRF,Wine fermenter,Wine,"Production zone of Sagrantino wine, Montefalco, Foligno, Italy",no,A,9,2,euploid,heterozygous,"48,840",19.2,10,215,Wine/European 
SGU89,BSM,Wine,Wine,Italy,no,A,15,2,euploid,heterozygous,"48,638",19.6,5,230,Wine/European 
SG60,BSN,Wine,Wine,Italy,no,A,12,2,euploid,heterozygous,"48,640",19.4,4,228,Wine/European 
1216,CPE,Unknown,Unknown,"El Sauzal, Tenerife, Spain",no,A,10,2,aneu;+1*1;,homozygous,"43,435",0,219,244,Wine/European 
DBVPG1656,BLM,Grape must treated with sulfur dioxide,Wine,"Los Campillos, La Mancha, Spain",no,A,7,2,euploid,homozygous,"42,837",0,188,306,Wine/European 
DBVPG2088,BQC,Cognac,Distillery,"Cognac, France",no,A,13,2,euploid,homozygous,"43,003",0,161,251,Wine/European 
DBVPG4905,BRE,Fermenting grape must,Wine,"Marsciano, Perugia, Italy",no,A,12,2,euploid,homozygous,"42,817",0,159,291,Wine/European 
DBVPG1976,BPV,Wine,Wine,Slovakia,no,A,33,2,euploid,homozygous,"43,438",0,162,261,Wine/European 
Ba-215,CRC,Wine,Wine,Italy,no,A,8,2,euploid,homozygous,"42,779",0,173,218,Wine/European 
CLIB1410,BHN,"Rice wine, Oenology",Fermentation,Laos,no,A,34,2,euploid,homozygous,"42,710",0,277,220,Wine/European 
PB200,BBB,"Soil by trunk of Quercus sp. (Oak K), next to vineyard",Soil,Montalcino in Italy,no,A,45,2,euploid,homozygous,"42,485",0,5,181,Wine/European 
PB137,BAV,Bark of grape vine ,Wine,Montalcino in Italy,no,A,15,2,euploid,homozygous,"42,739",0,4,262,Wine/European 
B-4,CAE,Wine conserved in amphora,Wine,Georgia,no,A,3,2,euploid,homozygous,"43,065",0,2,352,Wine/European 
C-3,CAF,Wine conserved in amphora,Wine,Georgia,no,A,3,2,euploid,homozygous,"42,654",0,2,205,Wine/European 
C-6,CRL,Wine conserved in amphora,Wine,Georgia,no,A,6,2,euploid,homozygous,"38,217",0,0,64,Wine/European 
PB197,BBA,"Litter by trunk of Quercus sp. (Oak 4), next to vineyard",Soil,Montalcino in Italy,no,A,23,2,euploid,homozygous,"42,759",0,280,260,Wine/European 
YJM969,SACE_YAY,Unknown,"Human, clinical",Italy,no,A,61,2,euploid,homozygous,"41,867",0,0,25,Wine/European 
YJM981_b,ADI,Vagina,"Human, clinical",Italy,yes,A,21,1,euploid,homozygous,"43,151",0,6,220,Wine/European 
YJM975,SACE_YBA,Vagina,"Human, clinical",Italy,no,A,48,2,euploid,homozygous,"42,713",0,13,36,Wine/European 
YJM972,SACE_YAZ,Unknown,"Human, clinical",Italy,no,A,47,2,euploid,homozygous,"43,204",0,6,71,Wine/European 
YJM989,BMI,Vagina,"Human, clinical",Italy,no,A,10,2,euploid,homozygous,"42,862",0,0,219,Wine/European 
YJM987,SACE_YBE,Unknown,"Human, clinical",Italy,no,A,36,2,euploid,homozygous,"42,571",0,5,114,Wine/European 
YJM990,BMK,Vagina,"Human, clinical",Italy,no,A,8,2,euploid,homozygous,"43,374",0,1,350,Wine/European 
